state,year,month,number
Acre,1998,1,0
Acre,1999,1,0
Acre,2000,1,0
Acre,2001,1,0
Acre,2002,1,0
Acre,2003,1,10
Acre,2004,1,0
Acre,2005,1,12
Acre,2006,1,4
Acre,2007,1,0
Acre,2008,1,0
Acre,2009,1,0
Acre,2010,1,1
Acre,2011,1,0
Acre,2012,1,0
Acre,2013,1,0
Acre,2014,1,0
Acre,2015,1,1
Acre,2016,1,12
Acre,2017,1,0
Acre,1998,2,0
Acre,1999,2,0
Acre,2000,2,0
Acre,2001,2,0
Acre,2002,2,1
Acre,2003,2,0
Acre,2004,2,3
Acre,2005,2,0
Acre,2006,2,0
Acre,2007,2,5
Acre,2008,2,0
Acre,2009,2,2
Acre,2010,2,0
Acre,2011,2,0
Acre,2012,2,0
Acre,2013,2,0
Acre,2014,2,0
Acre,2015,2,2
Acre,2016,2,5
Acre,2017,2,1
Acre,1998,3,0
Acre,1999,3,0
Acre,2000,3,11
Acre,2001,3,0
Acre,2002,3,0
Acre,2003,3,0
Acre,2004,3,0
Acre,2005,3,3
Acre,2006,3,0
Acre,2007,3,2
Acre,2008,3,0
Acre,2009,3,1
Acre,2010,3,0
Acre,2011,3,0
Acre,2012,3,1
Acre,2013,3,2
Acre,2014,3,1
Acre,2015,3,2
Acre,2016,3,0
Acre,2017,3,0
Acre,1998,4,0
Acre,1999,4,0
Acre,2000,4,1
Acre,2001,4,0
Acre,2002,4,0
Acre,2003,4,1
Acre,2004,4,2
Acre,2005,4,1
Acre,2006,4,0
Acre,2007,4,0
Acre,2008,4,0
Acre,2009,4,0
Acre,2010,4,3
Acre,2011,4,2
Acre,2012,4,1
Acre,2013,4,19
Acre,2014,4,7
Acre,2015,4,3
Acre,2016,4,0
Acre,2017,4,1
Acre,1998,5,0
Acre,1999,5,0
Acre,2000,5,1
Acre,2001,5,0
Acre,2002,5,0
Acre,2003,5,6
Acre,2004,5,7
Acre,2005,5,2
Acre,2006,5,8
Acre,2007,5,1
Acre,2008,5,0
Acre,2009,5,3
Acre,2010,5,9
Acre,2011,5,3
Acre,2012,5,3
Acre,2013,5,4
Acre,2014,5,1
Acre,2015,5,2
Acre,2016,5,21
Acre,2017,5,10
Acre,1998,6,3
Acre,1999,6,0
Acre,2000,6,1
Acre,2001,6,1
Acre,2002,6,0
Acre,2003,6,0
Acre,2004,6,5
Acre,2005,6,27
Acre,2006,6,1
Acre,2007,6,4
Acre,2008,6,0
Acre,2009,6,0
Acre,2010,6,1
Acre,2011,6,10
Acre,2012,6,7
Acre,2013,6,8
Acre,2014,6,17
Acre,2015,6,40
Acre,2016,6,87
Acre,2017,6,45
Acre,1998,7,37
Acre,1999,7,1
Acre,2000,7,1
Acre,2001,7,3
Acre,2002,7,39
Acre,2003,7,168
Acre,2004,7,42
Acre,2005,7,368
Acre,2006,7,33
Acre,2007,7,29
Acre,2008,7,41
Acre,2009,7,31
Acre,2010,7,126
Acre,2011,7,93
Acre,2012,7,71
Acre,2013,7,54
Acre,2014,7,60
Acre,2015,7,109
